Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR32802217_1	SRR32802217_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130530.0	39.2 Mbp	0.0	35-301	53.0	10.23596108174366	300.558810235195	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802217_2	SRR32802217_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130530.0	39.1 Mbp	0.0	35-301	53.0	18.64475599479047	300.87524323910213	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802218_1	SRR32802218_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	171639.0	51.6 Mbp	0.0	35-301	54.0	9.042233991109248	300.5315837309702	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802218_2	SRR32802218_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	171639.0	51.4 Mbp	0.0	35-301	53.0	16.955936587838426	300.78000337918536	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802219_1	SRR32802219_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97921.0	29.4 Mbp	0.0	301.0	54.0	9.838543315529865	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802219_2	SRR32802219_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97921.0	29.4 Mbp	0.0	301.0	53.0	18.78146669253786	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802220_1	SRR32802220_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	226722.0	68.2 Mbp	0.0	301.0	53.0	8.499836804544774	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802220_2	SRR32802220_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	226722.0	68.2 Mbp	0.0	301.0	53.0	14.949585836398763	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802221_1	SRR32802221_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109826.0	33 Mbp	0.0	301.0	55.0	9.236428532405805	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802221_2	SRR32802221_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109826.0	33 Mbp	0.0	301.0	55.0	17.130734070256587	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
